,내용
0,출사표일진하이솔루스 친환경 핵심 수소차타고 코스피 데뷔이데일리 김인경 기자 수소저장탱크를 제작해 판매하는 일진하이솔루스가 다음 달 3일 유가증권시장코스피에 데뷔한다 전세계적으로 친환경 정책이 강화하는 가운데 수소 저장탱크 기술력을 보유한 만큼 향후 안정적인0180005014672 일진하이솔루스 느낌 좋습니다 총알 풀충전 또 갑니다 ㅎㅎ
1,안녕하세요 창호를 1개 교체 해야 되며 이유는 타인이 저희집 창호를 파손시켜 상대방 일배로 보험 진행하기로 했는데 문제는 지방 소도시라서 창호 1개만 교체해주는데가 찾기가 쉽지 않고 정식 업체는 비용이 비싸고 사설업체는 믿을 만한곳이 없어서 고민 입니다 현재 진행 상황은 아파트 시공업체에 창호 교체 문의 하니 견적은 330만원 정도 나오고 교체시 몰딩으로 도배된곳의 부분파손을 가릴수는 있지만 도배를 한지 1년도 안되서 도배비와 미세방충망 시공된 것은 따로 견적 받으라고 하였으나 이마저도 본인들은 타지역이라 창호 1개 교체하러 오기가 쉽지 않다고 합니다 두번째는 그래도 지역에서 조금 규모가 있는 업체에 문의를 하니 저희 집 도배가 친황경 나무벽지인데 지방 소도시라 시공팀이 없어서 처음 시공할때도 타지역에서 시공팀이 와서 작업한 것이라 도배비 포함 부가가치세 미세방충망 도로와 저희집이 멀어서 장비스카이차 포함해서 433만원 견적이 나왔습니다 여기서 문제가 상대방 손해사정사가 도배는 굳이 안해도 되는 부분이라며 도배 비용을 제외 시키고 부가가치세도 포함이 안된다고 해서 견적을 290만원 승인 받았다고 하더라구요 그래서 그럼 시공 가능한 업체를 섭외 해달라고 하니 손해사정사가 알고있는 같은 지방 사설 업체를 알려줘서 견적을 받았습니다 업체분이 하시는 말이 본인들은 기술이 좋아서 창호 틀을 정교하게 빼낼 수 있으니 추가 단열은 필요 없으며 도배 손상도 없으니 걱정 말라고 하여 제가 창호 주변은 단열제들일건데 안부셔지는게 가능하며 그게 부서지면 도배지도 파손되지 않냐고 물으니 그때서야 석고 보드 깨져도 3천원이고 창호 주변에 몰딩을 대면 된다고 하더라구요 제가 도배를 한지 11개월밖에 안됐고 일부러 친환경 나무벽지로 타지역에서 했다고하니 도배지만 2롤 구해오면 시공팀이 해준다고 하더라구요 그리고 저희집이 도로와 멀고 2층 이기때문에 스카이차가 쓸 수도 없고 창호를 그냥 외부에서 줄로 매달아서 사람이 끌어 올린다고 하는데 원래 이렇게 하는지 궁금합니다 견적은 도배비 제외하고 창호는 250정도 나올 것이라고 하며 도배비 예상 견적해서 견적 올린다고 하더라구요 그 이후로 손해사정사분이 사설 업체에서 283만원 나왔다고 연락이 와서 제가 창호가 250인데 그럼 도배비는 어떻게 되냐고 물으니 창호를 본인이 200만원으로 네고를 했다고 합니다 창호는 24 2중창 알고 있으며 가로 180 세로 220 정도 되는 창호 입니다 두서없는 긴글 읽어 주셔서 감사합니다 타인의 행위로 창호 교체 하는 것도 억울한데 이마저도 원상복구 하기가 어려우니 참 답답합니다
2,바로위에서 우네요 어째 써라운드로 들리더라니 시골이라 친환경적 카센터입니다 ㅋㅋㅋㅋ
3,키움전기전자 김지산 전기전자 21817 1 국내뉴스 ▶?애플·삼성 위협하는 샤오미 스마트폰 이어 3년 만에 ‘가성비 태블릿’도 출시조선비즈 36만원짜리 미패드5 출시 70만원대 ‘갤탭7 ’보다 고성능 평가 “샤오미 복귀로 시장 경쟁 치열해질 것” 33 ▶? 휴대폰 표준 충전기 의무화 법 만든다 다음달 제안 예정 역내 27개국 규격 통일 골자 애플 충전기 표준을 강제할 경우 혁신이 저해될 우려가 있다고 주장 37 ▶?에너지솔루션 호주 과 니켈·코발트 공급 계약…전기차 130만대 분량전자신문 친환경 공법을 기반으로 전기차 배터리용 니켈 및 코발트를 생산하는 스코니 프로젝트를 추진 과의 계약으로 환경·사회·지배구조 경쟁력도 확보 2594 ▶?중국 전기차 배터리 부족 배터리 구하기 어려워디일렉 샤오펑小? 배터리를 구하기 위해 공장에 가서 대기 샤오펑 자동차의 배터리 부족에도 관계없이 올 해 판매량은 새로운 기록 3 ▶?중국판 테슬라 니오 내년 저가 브랜드 발표 2000만 원 대 중후반 가격대 예상 테슬라가 가격을 낮춰 시장 점유율을 늘린 것에 대응하기 위해 저가형 모델 전략을 마련 3 2 해외뉴스 ▶?2025년까지 전 세계 스마트폰 판매의 절반이 5 지원 핸드셋으로 구성될 것 5 휴대폰 매출 2025년까지 3배 이상 증가할 것으로 예상 2025년까지 글로벌 안드로이드 폰의 가격이 글로벌 아이폰 모델의 가격보다 65 낮아질 것 38 ▶? 의 가장 큰 고객 주문 전체 웨이퍼 매출의 20 이상을 차지 350
4,속보포스코 2분기 영업익 2조2006억원…전년비 1212↑ 포스코005490는 2분기 연결 기준 영업이익이 2조2006억원으로 전년 동기 대비 121222 증가했다고 22일 공시했다 같은 기간 매출액은 3331 늘어난 18조2925억원으로 잠정 집계됐다 02355046629117144257 포스코 주당 4000원 분기 배당 포스코가 보통주 1주당 4000원의 분기 현금배당을 결정했다고 13일 공시했다 시가배당률은 12로 배당금 총액은 3025억원이다 배당기준일은 지난 6월 30일이고 배당금 지급 예정일은 다음달 2일이다 1496423 포스코 국내최초 1조5000억원 규모 그린본드 교환사채 발행 포스코가 국내 최초로 그린본드 교환사채를 해외에 발행했다포스코는 친환경 관련 국내외 투자자금 조달 등 경영 강화를 위해 11억유로약 1조5000억원 규모의 그린본드 교환사채를 발행했다고 14일 밝혔다이번 그린본드 교환사채의 교환 대상은 포스코가 보유한 자사주 약 293만주로 13일 종가 34만1000원을 기준으로 1주당 가치가 49만4450원으로 책정됐다이는 1주당 약 45의 높은 프리미엄으로 향후 포스코 주가에 대한 투자자들의 긍정적인 전망이 반영됐다는 게 회사 측 설명이다 또한 총 발행 금액도 11억 유로 규모로 지금까지 국내 기업이 자사주를 활용해 발행한 교환사채 중 최대 금액이다포스코가 유로화로 발행한 그린본드 교환사채는 만기 5년 제로쿠폰 본드로 만기 수익율이 078 로서 실질적으로 마이너스 금리 발행이다포스코 측은 “우수한 대외신인도와 글로벌 우량 신용등급을 바탕으로 마이너스 금리로 외화 교환사채 발행에 성공함으로써 글로벌 금리상승이 예상되는 자금시장에서 이자부담 없이 선제적인 자금조달을 통해 금융비용 절감 효과를 볼 것으로 예상한다”고 말했다포스코는 이번 그린본드 교환사채 발행으로 확보한 자금을 2차전지 수소사업 등 친환경 신성장 동력 확보를 위한 투자에 주로 사용함으로서 기업시민 경영이념 기반의 경영을 강화한다는 계획이다한편 포스코는 지난 2019년 7월 글로벌 철강회사 최초로 친환경사업 및 사회문제 해소를 위한 사업자금 조달을 위해 5억달러 규모의 채권 발행에도 성공한 바 있다 1022330 포스코 소유 중이신 뽐뿌회원님들 모두 축하드립니다 영업이익과 배당금도 놀랍지만 15조 교환사채 발행 1주당 가치 49만4450원 ㄷㄷㄷㄷ 포스코 진짜 앞으로 대박이네요 ㅎㅎ 주주분들 꽉 붙들어 매시길 저는 일단 9월에 나오는 배당금으로 최신폰 한대 바꾸고 플스5 질러야겠습니다 ㅎㅎ 와이프에겐 사은품 당첨 됐다고 해야함 ㅋㅋ
5,1 정치 정귄 변화시 관련주 인맥주 시장트렌드 주목 대선이 얼마 남지 않았으니 세력들은 벌써 사두었겠죠 2 시대흐름주 5 메타버스 친환경 전기차 시대흐름 따라 흔들리고 조절되는 관련주들 다음이 무언지 흔들고 자리가는건지 다시 조정후 상승인지 3 사회이슈 사회적 큰 이슈ㅡ전쟁 바이오 환경 새로운 병균ㅡ조류독감 돼지열병 메르스 코로나 항상 이슈에 반응 4 항상 이익회사 조용히 가죠 아주 조용히 개인이 수십억식 사놓고 있을수 없으니사모으기로변경 5 올림픽 월드컵 4년에서 5년 주기로 반도체 디스플레이 주류 치킨 항상 뜨겁죠 6 계절주 여름이면 아이스크림 맥주 주류 봄이면 황사 마스크 필터 겨울이면 보일러 가을이면 7 신규상장자 항상 큰 대어들은 의 따따블리스크 크니 위험하고 계졀 여행이나 이슈건으로 움직이는 한국주식 누구든 할수있지만 이익되는걸로 선택과 공부의 결과겠죠 파란색은 언제 붉게 물들까요
6,친환경 회사 이미지를 위해서인가 주변에 산밖에 없음 ㅋㅋㅋㅋ 장항리에 있는 논밭 다 합친거랑 한수원 부지랑 거의 비슷해 보일 정도더라구요 ㅋㅋㅋㅋ 발전소도 아니고 사무업무를 위한 공간인데 뭐저리 외딴 곳에 지었는지 참
7,인산철 배터리는 가격대는 리튬이온과 비슷하지만 에너지밀도가 떨어지고 무겁죠안정적이지만 부피와 무게가 15배 수준으로 차이가 납니다전고체 배터리는 습도에 약하고 수명저하 고출력 배터리 발열 제조가 힘듭니다안정성 밀도 부분에서는 우위를 가진다 하지만 마냥 장점만 가진게 아닙니다현재 리튬이온 배터리가 나오기까지 30년이 걸렸습니다단기간에 불쑥 나와서 리튬이온 배터리의 모든 부분을 능가할수는 없어요트레이드오프거든요중국같은 경우 생산량이 많아서 유명한거지 품질로 유명한건 아닙니다애네들도 에너지 밀도가 한국일본산 리튬 배터리 대비 75 정도입니다자동차 배터리팩 구성하면 무게 차이 많이나요중국 업체들도 공산당이 강제로 쓰라고 해서 쓰는거지 한국산 좋은거 다 알아요해외 펀딩할 때 삼성파나소니 배터리 쓴다고 엄청 강조합니다중국산 배터리 쓰면 용량만 강조하구요공산당에 납품하는 전기차도 내구성이 필요한 납품건은 텍갈이 해서 몰래 한국산 배터리로 납품하기도 합니다은밀하게 다 알고 있습니다인산철은 특허도 중국에 있지만 오직 중국 기업에서만 생산합니다리튬 배터리가 월등히 좋기 때문에 이미 전기차 규격에서 탈락한거에요단지 안정성과 재료 수급 문제로 중국내에서 쓸려고 하는거죠프랑스가 소듐 배터리를 국가 정책으로 밀어주는 것과 비슷한겁니다글로벌 기업들은 인산철을 전혀 고려하지 않아요중국 시장 내에서는 여전히 납축전지 많이 씁니다중국과 한국일본 기업의 리튬셀 에너지 밀도가 동일 무게 대비 25 가까이 차이납니다전기차의 공차 중량이 2000을 넘어가고 배터리 무게만 현세대 차종은 200300 하기 때문에 중국산 배터리를 쓰면 친환경 자동차 이미지를 가지고 있는 전기차가 연비 측정에 불리해요전기차 시장 진입부터 기술력에 의심을 받습니다배터리 용량이 커질수록 100 수준까지 가까이 차이가 나거든요생각보다 차이가 많습니다중국산 리튬셀 한국일본산 리튬셀 자체에서 동일 축전량 기준으로 25의 무게 차이가 나구요인산철리튬 배터리 비교에서는 무게만 2배 가까운 차이가 발생합니다인산철 배터리는 납축 전지 대체용으로 쓰기 시작합니다48 하이브리드 배터리가 인산철로 대체되는 수준입니다인산철은 리튬배터리의 상대가 아닙니다테슬라가 파는 차량들이 똑같은 스펙의 차량을 파는게 아닙니다배터리팩 용량이 차별화 되어 있다는 얘기입니다가격대에 따라서 배터리팩 용량이 다르고 최대 주행거리도 당연히 다릅니다중국 시장에 한정되서 판매하는 배터리팩은 공산당 보조금을 최대한 받으면서 저렴하게 팔 수 있는 지역 옵션이고 당연히 최대 주행거리도 짧습니다테슬라가 다 똑같은 옵션을 제공한다는 전제에서는 위협이라고 생각하겠지만 실상은 다르죠좋은 배터리팩을 쓴 옵션은 주행거리도 길고 비싸구요중국에서 판매하는 중국산 인산철 배터리팩은 가격도 저렴하면서 주행거리가 짧습니다싸고 좋은건 없어요전고체 배터리도 삼성가 선도하는 분야입니다양산 단계까지 가 있는 상태구요는 기존 리튬배터리를 개량한 전고체 배터리를 개발 중소재에 은 이 들어가고 복잡한 공정 때문에 리튬배터리 대비 가격이 비싸져서 코스트다운을 진행중인거구요샘플은 이미 공급중이고 자동차 회사들이 차세대 배터리팩으로 테스트 진행 중입니다양산되는 전기차들은 최소 5년전에 개발하는겁니다중국 도 삼성와 유사한 방향으로 전고체 배터리 개발중입니다중국 배터리 기업들은 아직 개발중으로 샘플로 나온 시제품들은 수명에 문제가 있어요한국일본의 전고체 배터리 소재 부분은 이미 다 완성되어 있는 상태입니다지금의 당면한 문제는 리튬배터리 대비 전고체 배터리가 절대 저렴하지 않다는겁니다그래서 대량 생산까지는 안하고 시험 양산만 하고 있습니다후발주자들은 무리수를 두더라고 혁신 운운해야 살아 남을 수 있으니깐요자동차 회사들이 개발비 담구면 배터리 1티어로 공급해준다거나 그나마 저렴하게 공급해준다던가 하죠한국 배터리 기업들은 쓰겠다는 글로벌 기업들이 줄을 서 있어서 선행 계약을 못한 후발주자들은 협상 자체가 난항이라 현재 차세대 배터리를 개발중인 중국 기업 등등에 발 담구는겁니다테슬라조차 자체 배터리 개발한다고 몇년째 발표만 하고 있는데 아웃풋이 없습니다테슬라 오토파일럿 결함 때문에 소송 들어갔고 독일에서는 오토파일럿 명시 삭제 판결까지 나왔죠그래도 혁신이랍시고 빨아대는 사람들이 있어서 주가는 폭등하고 있지요중국 도 마찬가지입니다한국 기업들은 이미 전고체 배터리 양산 단계까지 와서 더 저렴하게 생산하려고 수율 및 소재 투입해서 코스트 낮추는 작업하고 있는데 의 전고체 배터리를 개발했네 아니네 하는 개발도 안된 뉴스에 선동당하는겁니다이놈의 위기론은 때부터 계속 나왔던 얘기죠지금 전기차에 쓰는 고방전 리튬배터리는 2000년대 초반에 개발된 기술입니다한국은 20년전 기술을 개량해서 쓰고 있는거고 중국 기업들은 이제 추격하고 있는거구요그런다고 한국 기업들이 기술개발을 게을리 하느냐 절대 아닙니다한국 기업들의 전고체 배터리는 양산 단계까지 왔어요품질과 양산 단가를 놓고 밸런스 조절을 고민하는거죠개발하자마자 양산하기 바쁜 중국기업들과는 행보가 다릅니다2차 배터리도 반도체처럼 20년간 시장을 선도해 왔습니다도요타 전략은 최소 5년간 적자 감안하고 생산해서 시장을 선점하겠다는 의미인거에요그렇게 제조된 제품은 극한의 원가 절감 때문에 결국 2세대에 들어서 개선되는 부분들이 많을 수 밖에 없습니다도요타의 하이브리드 수소차 전기차 모두 5년간 적자 보겠다고 공격적인 가격 정책으로 시작하는거지요근데 최근에 나온 보도자료를 보면 도요타는 전기차에 대해서 상당히 부정적인 견해를 내 놓고 있더라구요2035년까지는 내연기관을 계속 생산하겠다는 의견으로 보아서 기술 개발이 완벽하지 않은 것 같습니다전고체 배터리가 상당 부분 완성 되었다면 그런 견해를 내지 않았을꺼라 생각됩니다10분 충전으로 500를 주행할 수 있다는건 목표인거고 현실적인 전고체 배터리는 목표 미달일겁니다최소 1세대 전고체배터리는 기대하면 안된다는 의미로 보이겠네요삼성 도 개발은 해 놨지만 양산 가격 및 수율이 양산 단계가 아니라는거죠더 개선해야 할 부분들이 있다는 얘기고 도요타도 크게 다르지 않을겁니다배터리는 저렴하면 장땡입니다아예 저렴하거나 아예 고성능이거나 둘 중 하나입니다폭스바겐은 탄소저감을 위한 전기차 쿼터 물량이 있어서 배터리 단가를 꼭 낮춰야 됩니다2025년까지 적자 보고 전기차 보급하는거라서요그래서 중국산으로 바꾼건데 로 전환하면서 123에서도 폴리머 배터리 납품 받습니다전기자동차에서 배터리는 어떤게 들어가도 리스크는 없어요문제 생기면 배터리 납품한 이나 123에서 보증 진행해주면 되니깐 보증기간내에만 잘 굴러가면 됩니다 손절한건 가 배터리 제값받기 하면서 불거진거라서요폭스바겐의 이탈은 예상은 했던거죠다만 2025년쯤 예상했는데 너무 이른 시간내에 이탈해버린게 흠이랄까수차례 단가 협상을 해 왔었고 단가 목표가 있었는데 단가 목표 곡선이 둔화되어 버려서 그 목표를 맞출 수 있는 중국 기업으로 넘어간거라고 봐야죠폭스바겐의 이탈은 주 원인이 배터리 단가 문제인데 그렇게 얘기해서 문제 터지면 폭스바겐이 책임져야 하니깐 대외적인 변명으로는 배터리 패키징 및 자체 개발이라고 하는거죠 인산철 배터리는 가격대는 리튬이온과 비슷하지만 에너지밀도가 떨어지고 무겁죠안정적이지만 부피와 무게가 15배 수준으로 차이가 납니다전고체 배터리는 습도에 약하고 수명저하 고출력 배터리 발열 제조가 힘듭니다안정성 밀도 부분에서는 우위를 가진다 하지만 마냥 장점만 가진게 아닙니다현재 리튬이온 배터리가 나오기까지 30년이 걸렸습니다단기간에 불쑥 나와서 리튬이온 배터리의 모든 부분을 능가할수는 없어요트레이드오프거든요 중국같은 경우 생산량이 많아서 유명한거지 품질로 유명한건 아닙니다애네들도 에너지 밀도가 한국일본산 리튬 배터리 대비 75 정도입니다자동차 배터리팩 구성하면 무게 차이 많이나요 중국 업체들도 공산당이 강제로 쓰라고 해서 쓰는거지 한국산 좋은거 다 알아요해외 펀딩할 때 삼성파나소니 배터리 쓴다고 엄청 강조합니다중국산 배터리 쓰면 용량만 강조하구요공산당에 납품하는 전기차도 내구성이 필요한 납품건은 텍갈이 해서 몰래 한국산 배터리로 납품하기도 합니다은밀하게 다 알고 있습니다 인산철은 특허도 중국에 있지만 오직 중국 기업에서만 생산합니다리튬 배터리가 월등히 좋기 때문에 이미 전기차 규격에서 탈락한거에요단지 안정성과 재료 수급 문제로 중국내에서 쓸려고 하는거죠프랑스가 소듐 배터리를 국가 정책으로 밀어주는 것과 비슷한겁니다글로벌 기업들은 인산철을 전혀 고려하지 않아요중국 시장 내에서는 여전히 납축전지 많이 씁니다 중국과 한국일본 기업의 리튬셀 에너지 밀도가 동일 무게 대비 25 가까이 차이납니다전기차의 공차 중량이 2000을 넘어가고 배터리 무게만 현세대 차종은 200300 하기 때문에 중국산 배터리를 쓰면 친환경 자동차 이미지를 가지고 있는 전기차가 연비 측정에 불리해요전기차 시장 진입부터 기술력에 의심을 받습니다배터리 용량이 커질수록 100 수준까지 가까이 차이가 나거든요생각보다 차이가 많습니다 중국산 리튬셀 한국일본산 리튬셀 자체에서 동일 축전량 기준으로 25의 무게 차이가 나구요인산철리튬 배터리 비교에서는 무게만 2배 가까운 차이가 발생합니다인산철 배터리는 납축 전지 대체용으로 쓰기 시작합니다48 하이브리드 배터리가 인산철로 대체되는 수준입니다인산철은 리튬배터리의 상대가 아닙니다 테슬라가 파는 차량들이 똑같은 스펙의 차량을 파는게 아닙니다배터리팩 용량이 차별화 되어 있다는 얘기입니다 가격대에 따라서 배터리팩 용량이 다르고 최대 주행거리도 당연히 다릅니다중국 시장에 한정되서 판매하는 배터리팩은 공산당 보조금을 최대한 받으면서 저렴하게 팔 수 있는 지역 옵션이고 당연히 최대 주행거리도 짧습니다테슬라가 다 똑같은 옵션을 제공한다는 전제에서는 위협이라고 생각하겠지만 실상은 다르죠좋은 배터리팩을 쓴 옵션은 주행거리도 길고 비싸구요중국에서 판매하는 중국산 인산철 배터리팩은 가격도 저렴하면서 주행거리가 짧습니다싸고 좋은건 없어요 전고체 배터리도 삼성가 선도하는 분야입니다양산 단계까지 가 있는 상태구요는 기존 리튬배터리를 개량한 전고체 배터리를 개발 중소재에 은 이 들어가고 복잡한 공정 때문에 리튬배터리 대비 가격이 비싸져서 코스트다운을 진행중인거구요 샘플은 이미 공급중이고 자동차 회사들이 차세대 배터리팩으로 테스트 진행 중입니다양산되는 전기차들은 최소 5년전에 개발하는겁니다중국 도 삼성와 유사한 방향으로 전고체 배터리 개발중입니다중국 배터리 기업들은 아직 개발중으로 샘플로 나온 시제품들은 수명에 문제가 있어요한국일본의 전고체 배터리 소재 부분은 이미 다 완성되어 있는 상태입니다지금의 당면한 문제는 리튬배터리 대비 전고체 배터리가 절대 저렴하지 않다는겁니다그래서 대량 생산까지는 안하고 시험 양산만 하고 있습니다후발주자들은 무리수를 두더라고 혁신 운운해야 살아 남을 수 있으니깐요자동차 회사들이 개발비 담구면 배터리 1티어로 공급해준다거나 그나마 저렴하게 공급해준다던가 하죠한국 배터리 기업들은 쓰겠다는 글로벌 기업들이 줄을 서 있어서 선행 계약을 못한 후발주자들은 협상 자체가 난항이라 현재 차세대 배터리를 개발중인 중국 기업 등등에 발 담구는겁니다테슬라조차 자체 배터리 개발한다고 몇년째 발표만 하고 있는데 아웃풋이 없습니다테슬라 오토파일럿 결함 때문에 소송 들어갔고 독일에서는 오토파일럿 명시 삭제 판결까지 나왔죠그래도 혁신이랍시고 빨아대는 사람들이 있어서 주가는 폭등하고 있지요중국 도 마찬가지입니다한국 기업들은 이미 전고체 배터리 양산 단계까지 와서 더 저렴하게 생산하려고 수율 및 소재 투입해서 코스트 낮추는 작업하고 있는데 의 전고체 배터리를 개발했네 아니네 하는 개발도 안된 뉴스에 선동당하는겁니다이놈의 위기론은 때부터 계속 나왔던 얘기죠지금 전기차에 쓰는 고방전 리튬배터리는 2000년대 초반에 개발된 기술입니다한국은 20년전 기술을 개량해서 쓰고 있는거고 중국 기업들은 이제 추격하고 있는거구요그런다고 한국 기업들이 기술개발을 게을리 하느냐 절대 아닙니다한국 기업들의 전고체 배터리는 양산 단계까지 왔어요품질과 양산 단가를 놓고 밸런스 조절을 고민하는거죠개발하자마자 양산하기 바쁜 중국기업들과는 행보가 다릅니다2차 배터리도 반도체처럼 20년간 시장을 선도해 왔습니다 도요타 전략은 최소 5년간 적자 감안하고 생산해서 시장을 선점하겠다는 의미인거에요그렇게 제조된 제품은 극한의 원가 절감 때문에 결국 2세대에 들어서 개선되는 부분들이 많을 수 밖에 없습니다도요타의 하이브리드 수소차 전기차 모두 5년간 적자 보겠다고 공격적인 가격 정책으로 시작하는거지요근데 최근에 나온 보도자료를 보면 도요타는 전기차에 대해서 상당히 부정적인 견해를 내 놓고 있더라구요2035년까지는 내연기관을 계속 생산하겠다는 의견으로 보아서 기술 개발이 완벽하지 않은 것 같습니다전고체 배터리가 상당 부분 완성 되었다면 그런 견해를 내지 않았을꺼라 생각됩니다10분 충전으로 500를 주행할 수 있다는건 목표인거고 현실적인 전고체 배터리는 목표 미달일겁니다최소 1세대 전고체배터리는 기대하면 안된다는 의미로 보이겠네요삼성 도 개발은 해 놨지만 양산 가격 및 수율이 양산 단계가 아니라는거죠더 개선해야 할 부분들이 있다는 얘기고 도요타도 크게 다르지 않을겁니다 배터리는 저렴하면 장땡입니다 아예 저렴하거나 아예 고성능이거나 둘 중 하나입니다 폭스바겐은 탄소저감을 위한 전기차 쿼터 물량이 있어서 배터리 단가를 꼭 낮춰야 됩니다2025년까지 적자 보고 전기차 보급하는거라서요그래서 중국산으로 바꾼건데 로 전환하면서 123에서도 폴리머 배터리 납품 받습니다전기자동차에서 배터리는 어떤게 들어가도 리스크는 없어요문제 생기면 배터리 납품한 이나 123에서 보증 진행해주면 되니깐 보증기간내에만 잘 굴러가면 됩니다 손절한건 가 배터리 제값받기 하면서 불거진거라서요폭스바겐의 이탈은 예상은 했던거죠다만 2025년쯤 예상했는데 너무 이른 시간내에 이탈해버린게 흠이랄까수차례 단가 협상을 해 왔었고 단가 목표가 있었는데 단가 목표 곡선이 둔화되어 버려서 그 목표를 맞출 수 있는 중국 기업으로 넘어간거라고 봐야죠폭스바겐의 이탈은 주 원인이 배터리 단가 문제인데 그렇게 얘기해서 문제 터지면 폭스바겐이 책임져야 하니깐 대외적인 변명으로는 배터리 패키징 및 자체 개발이라고 하는거죠
8,전주 태양광 때문에 새 몰아낸다이게 친환경 18963 6조원의 세금을들여 정부가 개발 진행중인 새만금 태양발전시설입니다 축구장만한 조그마한 시설로 시범 운용중인데도 인부들이 거의 매일 청소를 해도 몇일내로 갈매기똥 범벅이 돼서 패널이 태양광을 흡수를 제대로 못해 효율이 안나온다고 합니다 문제는 상황이 이런데도 정부는 계획대로 2025년까지 사업을 강행해 완료하겠다는 태도를 고수하고 있습니다 잘하면 세계 최대규모의 태양광발전 시설이 세계 최대규모의 갈메기화장실이 될수도 있을듯 6兆 들인다는 새만금 태양광… 20년 쓰고 철거 부지 원상복구 6兆 들인다는 새만금 태양광 20년 쓰고 철거 부지 원상복구 새만금개발청 2042년 산업용지 등 당초 목적대로 개발 예정 향후 토지개발 사업자 없을 땐 재생에너지 설비 유지할 수도 정부가 재생에너지 메카로 만들겠다고 공언한 새만금 간척지 태양광·풍력 발전설비가 설 201811032018110300285 정부가 재생에너지 메카로 만들겠다고 공언한 새만금 간척지 태양광·풍력 발전설비가 설치 20년 후에 철거된다 2일 안충환 새만금개발청 차장은 정부세종청사에서 기자들과 만나 새만금 내 공유수면에서 진행하는 개발사업은 20년 사용 후 원상복귀를 전제로 한다며 정부가 지난달 31일 발표한 재생에너지 사업지도 20년이 지나면 산업용지 등 당초 토지 목적대로 개발할 예정이라고 밝혔다 새만금개발청의 이 같은 입장은 재생에너지 사업계획 수립 과정에서 지역 주민들의 의견이 배제됐다는 비판 여론을 의식한 것으로 풀이된다
9,억소리 나는 수입차 불티나게 팔렸다…작년보다 74↑ 1억원 이상 수입차 약 4만대 팔려…·친환경차 인기 서울연합뉴스 최평천 기자 국내 자동차 시장에서 수입차 질주가 이어지는 가운데 대당 1억원이 넘는 고가 수입차도 불티나게 팔리고 있다 14일 한국수입 0010012598893 이야 돈많은 분들 많으시다 나만 빼고 다 부자인듯 ㅜㅡㅜ 부럽습니다
