,0
0,화학 대산공장 전경. 화학 제공. 화학이 친환경 소재 사업을 육성하기 위해 대규모 국내 투자에 나선다
1, 화학은 .년까지 총 .조.억원을 투자해 충남 대산공장에 생분해성 및 태양광 필름용 고부가 합성수지 등 총 .개의 공장을 신설할 계획이라고 .일 밝혔다
2, 는 농업용.일회용 필름 등에 사용되는 제품으로 산소 열 빛 효소 반응으로 자연에서 빠르게 분해되는 특징이 있다
3, 연내 착공되는 공장은 연산 .만 공장은 연산 .만 규모로 건설될 예정이다
4, 두 공장 모두 .년 상업생산 시작을 목표로 한다
5, 화학은 두 공장 설립으로 인한 매출 증대 효과를 연간 약 .억원 이상으로 보고 있다
6, 썩는 플라스틱 수요 증가와 신재생에너지 보급 확대로 와 시장은 .년까지 연평균 . 수준의 고성장을 이어갈 것으로 전망된다
7, 화학은 .년까지 충남 대산사업장을 바이오 기반 원료 생산 친환경 소재 생산 폐플라스틱 재활용 온실가스 저감 등 환경.사회.지배구조기반 사업의 메카로 육성할 계획이다
8, 화학은 이날 충남도 및 서산시와 투자협약도 체결했다
9, 기존의 대산공장 부지 외 약 .만.만평의 신규 부지를 추가로 확보했다
10, 이번 투자로 약 .여명의 직접 고용 창출 효과도 기대하고 있다
11, 신학철 화학 부회장은 .이번 투자협약은 지속가능 성장 전략의 일환이자 친환경 소재 비즈니스의 본격화를 알리는 신호탄.이라며 .충남도 및 서산시와 협력 수준을 한 단계 더 높여 지속가능한 미래를 향해 함께 성장해 나갈 것.이라고 말했다
12,다
13,조 바이든 미국 대통령이 지난 .일현지시간 미국 워싱턴 백악관에서 열린 무공해차 홍보 행사에서 지프 랭글러 루비콘 시승 후 차에서 내리고 있다
14, 바이든 대통령은 이날 .년 판매되는 신차의 절반을 전기차 등 무공해차가 차지해야 한다는 목표를 담은 행정명령에 서명했다
15, 연합뉴스 미국의 친환경차 산업 육성 정책이 윤곽을 드러내며 미래차 산업의 새로운 경제 블록이 탄생한만큼 한국도 자동차 기업의 진입 전략을 모색해야 한다는 분석이 나왔다
16, 한국자동차연구원은 .일 발표한 산업동향 보고서를 통해 .미국이 친환경차 비율 . 달성을 골자로 한 정책 청사진을 공개하며 유럽.중국을 포함한 세계 .대 자동차 시장의 친환경차 정책 향방이 결정됐다
17,고 밝혔다
18, 조 바이든 미국 대통령은 지난 .일 .년까지 미국의 승용차.소형트럭 신차 중 전기차 플러그인하이브리드차 수소전기차를 포함한 무공해차의 비중을 .로 높이는 내용의 행정명령에 서명했다
19, 보고서는 미국이 자국 내 완전한 산업 기반을 구축해 친환경차 패권을 쥐겠다는 의지가 뚜렷하다고 분석했다
20, 실제로 바이든 대통령은 행정명령 서명 행사에 미국에 뿌리를 둔 완성차 기업 .곳 포드 스텔란티스과 전미자동차노조를 초청해 자국 기업.노조와의 동반자 관계에 기반한 산업 육성 의지를 천명했다
21, 또 친환경차 핵심인 배터리 생산에서 중국이 세계를 주도하는 현실을 인정하고 산학연의 역량을 결집해 배터리와 전기차 기술의 우위를 탈환하겠다고 밝혔다
22, 이와 함께 미국 정부의 공공 차량 .만대를 자국산 친환경차로 채우는 계획과 미국에서 생산되거나 미국 자동차 노조에 의해 생산되는 전기차를 구입하는 소비자를 위한 세액 공제 확대안을 소개하기도 했다
23, 보고서는 .무공해차 . 목표는 미국 자동차 시장의 특성을 고려하면 도전적인 수치고 기업의 의지와 내연기관차에 대한 강력한 규제가 뒷받침되어야만 달성 가능할 것으로 판단된다
24,고 설명했다
25, 앞서 시장조사업체 마킷은 지난 .월 .미국의 .년 신차 중 전기차순수전기차플러그인 하이브리드 비중이 .에 그치고 .년에야 . 달성이 가능할 것.이라고 전망한 바 있다
26, 이에 비춰 보면 .년까지 신차 중 무공해차 비중 . 달성.을 위해서는 미국 내 판매 비중이 높은 중대형 스포츠유틸리티차량과 픽업트럭 등에서 대대적인 전동화가 필요하다
27, 또 전임 트럼프 행정부에서 완화된 자동차 연비 규제의 영향을 만회할 급진적인 규제 강화와 캘리포니아주 등에서 추진하는 내연기관차 판매 중단 계획도 보다 확산돼야 한다고 보고서는 설명했다
28, 보고서는 미국 친환경차 정책의 구체적 방안이 공개되며 세계 .대 자동차 시장의 정책 향방이 사실상 결정됐다는 점에 의의를 뒀다
29, 자국 친환경차 산업 기반 육성에 방점을 둔 미국의 정책 방향은 기후변화 대응을 명분으로 비관세장벽을 강화하는 유럽연합이나 대외 갈등 속에 내수 활성화에 몰두하는 중국의 정책과 함께 친환경차 부문에서의 신 경제 블록의 탄생을 시사한다는 것이다
